Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/shop-products/,456,456,330.0,414.31689320112736,154.52310000546277,2565.659299987601,191.0,7.915863697291728,7.915863697291728,330,380,420,450,520,670,2300,2400,2600,2600,2600
PATCH,PATCH /api/shop-products/{id}/,783,783,340.0,390.558643422857,153.73819999513216,2655.0275000045076,191.0,13.592371217060139,13.592371217060139,340,390,420,450,510,600,860,2300,2700,2700,2700
POST,POST /api/carts/,504,504,340.0,405.52373412644977,155.69449999020435,2651.7748000042047,191.0,8.749112507532963,8.749112507532963,340,390,430,450,520,620,2300,2400,2700,2700,2700
,Aggregated,1743,1743,340.0,401.1014819848203,153.73819999513216,2655.0275000045076,191.0,30.25734742188483,30.25734742188483,340,380,420,450,510,620,2300,2400,2700,2700,2700
